PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	s-n-l	L_length(in)	Lg_grip_length	Lt_min thread_ref	D_body_dia(in)	A_head_dia(in)	H_head_height(in)	J_hex_scocket_size(in)	T_key_engagement(in)	F_fillet_transition_dia(in)	Material	Reference	Edition
ASME B18.3 SCREW 1/4 x 4.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_4.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	1.25	4  1/2 	n	4.50	3.25	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	1.25	5      	n	5.00	3.75	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	0.066	  3/8 	s	0.38	0.111	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	0.191	  1/2 	s	0.50	0.111	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	0.316	  5/8 	s	0.63	0.111	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	0.441	  3/4 	s	0.75	0.111	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	0.566	  7/8 	s	0.88	0.111	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 1 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	0.691	1      	s	1.00	0.111	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	0.941	1  1/4 	s	1.25	0.111	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	1.12	1  1/2 	s	1.50	0.111	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	1.12	1  3/4 	s	1.75	0.111	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 2 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	1.12	2      	n	2.00	0.88	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	1.37	2  1/4 	n	2.25	0.88	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	1.12	2  1/2 	n	2.50	1.38	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	1.37	2  3/4 	n	2.75	1.38	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 3 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	1.12	3      	n	3.00	1.88	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 3.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	1.37	3  1/4 	n	3.25	1.88	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 3.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_3.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	1.12	3  1/2 	n	3.50	2.38	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 4 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_4_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	1.12	4      	n	4.00	2.88	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 4.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_4.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	1.12	4  1/2 	n	4.50	3.38	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	1.12	5      	n	5.00	3.88	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 5.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_5.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	1.12	5  1/2 	n	5.50	4.38	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 6 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_6_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	1.12	6      	n	6.00	4.88	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 6.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_5/16_x_6.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	5/16	0.313	18	0.0556	1.12	6  1/2 	n	6.50	5.38	1.12	0.313	0.656	0.198	0.188	0.135	0.343	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	0.016	  3/8 	s	0.38	0.125	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	0.141	  1/2 	s	0.50	0.125	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	0.266	  5/8 	s	0.63	0.125	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	0.391	  3/4 	s	0.75	0.125	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	0.516	  7/8 	s	0.88	0.125	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 1 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	0.641	1      	s	1.00	0.125	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	0.891	1  1/4 	s	1.25	0.125	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.141	1  1/2 	s	1.50	0.125	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.25	1  3/4 	s	1.75	0.125	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 2 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.25	2      	s	2.00	0.125	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.25	2  1/4 	n	2.25	1.0	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.5	2  1/2 	n	2.50	1.0	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.25	2  3/4 	n	2.75	1.5	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 3 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.5	3      	n	3.00	1.5	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 3.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.25	3  1/4 	n	3.25	2.0	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 3.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_3.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.5	3  1/2 	n	3.50	2.0	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 4 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_4_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.5	4      	n	4.00	2.5	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 4.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_4.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.5	4  1/2 	n	4.50	3.0	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.5	5      	n	5.00	3.5	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 5.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_5.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.5	5  1/2 	n	5.50	4.0	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 6 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_6_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.5	6      	n	6.00	4.5	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 6.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_6.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.5	6  1/2 	n	6.50	5.0	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 7 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_3/8_x_7_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	3/8	0.375	16	0.0625	1.5	7      	n	7.00	5.5	1.25	0.375	0.781	0.234	0.219	0.159	0.405	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	0.123	  1/2 	s	0.50	0.143	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	0.248	  5/8 	s	0.63	0.143	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	0.373	  3/4 	s	0.75	0.143	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	0.498	  7/8 	s	0.88	0.143	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 1 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	0.623	1      	s	1.00	0.143	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	0.873	1  1/4 	s	1.25	0.143	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.123	1  1/2 	s	1.50	0.143	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.373	1  3/4 	s	1.75	0.143	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 2 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.38	2      	s	2.00	0.143	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.38	2  1/4 	s	2.25	0.143	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.38	2  1/2 	n	2.50	1.12	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.63	2  3/4 	n	2.75	1.12	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 3 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.38	3      	n	3.00	1.62	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 3.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.63	3  1/4 	n	3.25	1.62	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 3.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_3.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.38	3  1/2 	n	3.50	2.12	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 4 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_4_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.38	4      	n	4.00	2.62	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 4.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_4.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.38	4  1/2 	n	4.50	3.12	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.38	5      	n	5.00	3.62	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 5.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_5.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.38	5  1/2 	n	5.50	4.12	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 6 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_6_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.38	6      	n	6.00	4.62	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 6.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_6.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.38	6  1/2 	n	6.50	5.12	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 7 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_7_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.38	7      	n	7.00	5.62	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 8 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_8_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.38	8      	n	8.00	6.62	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 9 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_7/16_x_9_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	7/16	0.438	14	0.0714	1.38	9      	n	9.00	7.62	1.38	0.438	0.844	0.234	0.25	0.159	0.468	St	ASME B18.3	1998
ASME B18.3 SCREW 1/2 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/2_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/2	0.5	13	0.0769	0.095	  1/2 	s	0.50	0.154	1.5	0.5	0.938	0.251	0.312	0.172	0.53	St	ASME B18.3	1998
ASME B18.3 SCREW 1/2 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/2_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/2	0.5	13	0.0769	0.22	  5/8 	s	0.63	0.154	1.5	0.5	0.938	0.251	0.312	0.172	0.53	St	ASME B18.3	1998
ASME B18.3 SCREW 1/2 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/2_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/2	0.5	13	0.0769	0.345	  3/4 	s	0.75	0.154	1.5	0.5	0.938	0.251	0.312	0.172	0.53	St	ASME B18.3	1998
