PartNumber	PartName	Nominal_size(ref)	Basic_shoulder_dia(in)	D_shoulder_dia(in)	Length(ref)	L_length(in)	A_head_dia(in)	H_head_height(in)	C_chamfer(in)	J_Hex_scocket_Size(in)	T_key_engagement(in)	M_fillettransition_dia(in)	R_heda_fillet_radius(in)	K_shoulder_neck_dia(in)	F_shoulder_neck_width(in)	D1_nominal_thread_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	G_thread_neck_dia(in)	I_thread_neck_width(in)	N_thread_neck_fillet(in)	E_thread_length(in)	Material	Reference	Edition
ASME B.18.3 SCREW 1/2 x 1.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	1  3/4 	1.75	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/2 x 2 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	2      	2.0	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/2 x 2.25 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	2  1/4 	2.25	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/2 x 2.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	2  1/2 	2.5	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/2 x 2.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	2  3/4 	2.75	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/2 x 3 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	3      	3.0	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/2 x 3.25 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	3  1/4 	3.25	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/2 x 3.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_3.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	3  1/2 	3.5	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/2 x 3.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_3.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	3  3/4 	3.75	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/2 x 4 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_4_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	4      	4.0	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
