PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	A_head_dia_max(in)	A_head_dia_min(in)	A_head_dia_absolute_min(in)	F_flat_head_dia_max(in)	H_head_height_max(in)	H_head_height_min(in)	J_Slot_Width_max(in)	J_slot_width_min(in)	T_slot_Depth_max(in)	T_slot_depth_min(in)	Material	Reference	Edition
ANSI B18.5 BOLT 1_1/8 x 2.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_2.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	1.646	2.5	1.104	2  3/4 	2.75	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 3 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_3_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	1.896	2.5	1.104	3      	3.0	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 3.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_3.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.146	2.5	1.104	3  1/4 	3.25	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 3.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_3.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.396	2.5	1.104	3  1/2 	3.5	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 3.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_3.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.5	2.5	1.104	3  3/4 	3.75	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 4 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_4_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.5	2.5	1.104	4      	4.0	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 4.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_4.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.5	2.5	1.104	4  1/4 	4.25	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 4.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_4.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.5	2.5	1.104	4  1/2 	4.5	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 4.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_4.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.5	2.5	1.104	4  3/4 	4.75	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.5	2.5	1.104	5      	5.0	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
