PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	A_head_dia_max(in)	A_head_dia_min(in)	A_head_dia_absolute_min(in)	F_flat_head_dia_max(in)	H_head_height_max(in)	H_head_height_min(in)	J_Slot_Width_max(in)	J_slot_width_min(in)	T_slot_Depth_max(in)	T_slot_depth_min(in)	Material	Reference	Edition
ANSI B18.5 BOLT 1_1/8 x 5.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_5.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.5	2.5	1.104	5  1/2 	5.5	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 6 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_6_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.5	2.5	1.104	6      	6.0	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 6.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_6.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.75	2.75	1.104	6  1/2 	6.5	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 7 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_7_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.75	2.75	1.104	7      	7.0	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 7.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_7.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.75	2.75	1.104	7  1/2 	7.5	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 8 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_8_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.75	2.75	1.104	8      	8.0	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 8.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_8.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.75	2.75	1.104	8  1/2 	8.5	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 9 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_9_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.75	2.75	1.104	9      	9.0	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 9.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_9.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.75	2.75	1.104	9  1/2 	9.5	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 10 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_10_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	2.75	2.75	1.104	10      	10.0	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/4 x 2 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/4_x_2_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/4	1.25	7	0.1429	0.829	2.75	1.171	2      	2.0	1.277	1.223	2.337	2.262	2.187	0.043	0.671	0.582	0.211	0.193	0.291	0.197	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/4 x 2.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/4_x_2.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/4	1.25	7	0.1429	1.079	2.75	1.171	2  1/4 	2.25	1.277	1.223	2.337	2.262	2.187	0.043	0.671	0.582	0.211	0.193	0.291	0.197	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/4 x 2.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/4_x_2.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/4	1.25	7	0.1429	1.579	2.75	1.171	2  3/4 	2.75	1.277	1.223	2.337	2.262	2.187	0.043	0.671	0.582	0.211	0.193	0.291	0.197	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/4 x 3 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/4_x_3_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/4	1.25	7	0.1429	1.829	2.75	1.171	3      	3.0	1.277	1.223	2.337	2.262	2.187	0.043	0.671	0.582	0.211	0.193	0.291	0.197	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/4 x 3.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/4_x_3.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/4	1.25	7	0.1429	2.079	2.75	1.171	3  1/4 	3.25	1.277	1.223	2.337	2.262	2.187	0.043	0.671	0.582	0.211	0.193	0.291	0.197	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/4 x 3.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/4_x_3.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/4	1.25	7	0.1429	2.329	2.75	1.171	3  1/2 	3.5	1.277	1.223	2.337	2.262	2.187	0.043	0.671	0.582	0.211	0.193	0.291	0.197	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/4 x 3.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/4_x_3.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/4	1.25	7	0.1429	2.579	2.75	1.171	3  3/4 	3.75	1.277	1.223	2.337	2.262	2.187	0.043	0.671	0.582	0.211	0.193	0.291	0.197	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/4 x 4 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/4_x_4_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/4	1.25	7	0.1429	2.75	2.75	1.171	4      	4.0	1.277	1.223	2.337	2.262	2.187	0.043	0.671	0.582	0.211	0.193	0.291	0.197	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/4 x 4.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/4_x_4.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/4	1.25	7	0.1429	2.75	2.75	1.171	4  1/4 	4.25	1.277	1.223	2.337	2.262	2.187	0.043	0.671	0.582	0.211	0.193	0.291	0.197	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/4 x 4.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/4_x_4.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/4	1.25	7	0.1429	2.75	2.75	1.171	4  1/2 	4.5	1.277	1.223	2.337	2.262	2.187	0.043	0.671	0.582	0.211	0.193	0.291	0.197	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/4 x 4.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/4_x_4.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/4	1.25	7	0.1429	2.75	2.75	1.171	4  3/4 	4.75	1.277	1.223	2.337	2.262	2.187	0.043	0.671	0.582	0.211	0.193	0.291	0.197	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/4 x 5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/4_x_5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/4	1.25	7	0.1429	2.75	2.75	1.171	5      	5.0	1.277	1.223	2.337	2.262	2.187	0.043	0.671	0.582	0.211	0.193	0.291	0.197	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/4 x 5.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/4_x_5.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/4	1.25	7	0.1429	2.75	2.75	1.171	5  1/2 	5.5	1.277	1.223	2.337	2.262	2.187	0.043	0.671	0.582	0.211	0.193	0.291	0.197	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/4 x 6 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/4_x_6_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/4	1.25	7	0.1429	2.75	2.75	1.171	6      	6.0	1.277	1.223	2.337	2.262	2.187	0.043	0.671	0.582	0.211	0.193	0.291	0.197	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 2.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_2.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	0.929	3.0	1.321	2  1/4 	2.25	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 2.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_2.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	1.429	3.0	1.321	2  3/4 	2.75	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 3 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_3_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	1.679	3.0	1.321	3      	3.0	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 3.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_3.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	1.929	3.0	1.321	3  1/4 	3.25	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 3.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_3.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	2.179	3.0	1.321	3  1/2 	3.5	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 3.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_3.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	2.429	3.0	1.321	3  3/4 	3.75	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 4 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_4_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	2.679	3.0	1.321	4      	4.0	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 4.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_4.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	2.929	3.0	1.321	4  1/4 	4.25	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 4.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_4.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	3.0	3.0	1.321	4  1/2 	4.5	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 4.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_4.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	3.0	3.0	1.321	4  3/4 	4.75	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	3.0	3.0	1.321	5      	5.0	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 5.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_5.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	3.0	3.0	1.321	5  1/2 	5.5	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 6 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_6_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	3.0	3.0	1.321	6      	6.0	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 6.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_6.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	3.25	3.25	1.321	6  1/2 	6.5	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 7 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_7_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	3.25	3.25	1.321	7      	7.0	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 7.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_7.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	3.25	3.25	1.321	7  1/2 	7.5	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 8 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_8_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	3.25	3.25	1.321	8      	8.0	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 8.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_8.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	3.25	3.25	1.321	8  1/2 	8.5	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 9 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_9_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	3.25	3.25	1.321	9      	9.0	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 9.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_9.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	3.25	3.25	1.321	9  1/2 	9.5	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_3/8 x 10 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_3/8_x_10_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_3/8	1.375	6	0.1667	3.25	3.25	1.321	10      	10.0	1.404	1.345	2.571	2.489	2.414	0.043	0.738	0.641	0.226	0.208	0.326	0.22	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 2.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_2.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	0.862	3.25	1.388	2  1/4 	2.25	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 2.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_2.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	1.362	3.25	1.388	2  3/4 	2.75	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 3 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_3_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	1.612	3.25	1.388	3      	3.0	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 3.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_3.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	1.862	3.25	1.388	3  1/4 	3.25	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 3.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_3.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	2.112	3.25	1.388	3  1/2 	3.5	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 3.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_3.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	2.362	3.25	1.388	3  3/4 	3.75	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 4 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_4_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	2.612	3.25	1.388	4      	4.0	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 4.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_4.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	2.862	3.25	1.388	4  1/4 	4.25	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 4.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_4.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	3.112	3.25	1.388	4  1/2 	4.5	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 4.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_4.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	3.25	3.25	1.388	4  3/4 	4.75	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	3.25	3.25	1.388	5      	5.0	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 5.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_5.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	3.25	3.25	1.388	5  1/2 	5.5	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 6 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_6_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	3.25	3.25	1.388	6      	6.0	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 6.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_6.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	3.5	3.5	1.388	6  1/2 	6.5	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 7 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_7_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	3.5	3.5	1.388	7      	7.0	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 7.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_7.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	3.5	3.5	1.388	7  1/2 	7.5	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 8 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_8_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	3.5	3.5	1.388	8      	8.0	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 8.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_8.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	3.5	3.5	1.388	8  1/2 	8.5	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 9 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_9_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	3.5	3.5	1.388	9      	9.0	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 9.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_9.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	3.5	3.5	1.388	9  1/2 	9.5	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/2 x 10 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/2_x_10_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/2	1.5	6	0.1667	3.5	3.5	1.388	10      	10.0	1.531	1.47	2.804	2.715	2.64	0.043	0.805	0.698	0.258	0.24	0.36	0.244	St	ANSI B18.5	1990
