PartNumber	PartName	Pin_size_number(ref)	Basic_pin_dia	Length(ref)	L_length(in)	A_pin_dia_standard(in)	A_pin_dia_oversize(in)	B_point_dia(in)	C_crown_height(in)	R_end_crown_radius(in)	Material	Reference	Edition
ANSI B18.8.2 PIN 5/16x5/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/16x5/8_STEEL_GROUND_MACHINE_DOWEL_PIN	5/16	0.313	5/8	0.625	0.313	0.314	0.302	0.104	0.039	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/16x3/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/16x3/4_STEEL_GROUND_MACHINE_DOWEL_PIN	5/16	0.313	3/4	0.75	0.313	0.314	0.302	0.104	0.039	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/16x7/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/16x7/8_STEEL_GROUND_MACHINE_DOWEL_PIN	5/16	0.313	7/8	0.875	0.313	0.314	0.302	0.104	0.039	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/16x1 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/16x1_STEEL_GROUND_MACHINE_DOWEL_PIN	5/16	0.313	1.0	1.0	0.313	0.314	0.302	0.104	0.039	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/16x1_1/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/16x1_1/4_STEEL_GROUND_MACHINE_DOWEL_PIN	5/16	0.313	1_1/4	1.25	0.313	0.314	0.302	0.104	0.039	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/16x1_1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/16x1_1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	5/16	0.313	1_1/2	1.5	0.313	0.314	0.302	0.104	0.039	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/16x1_3/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/16x1_3/4_STEEL_GROUND_MACHINE_DOWEL_PIN	5/16	0.313	1_3/4	1.75	0.313	0.314	0.302	0.104	0.039	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/16x2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/16x2_STEEL_GROUND_MACHINE_DOWEL_PIN	5/16	0.313	2.0	2.0	0.313	0.314	0.302	0.104	0.039	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/16x2_1/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/16x2_1/4_STEEL_GROUND_MACHINE_DOWEL_PIN	5/16	0.313	2_1/4	2.25	0.313	0.314	0.302	0.104	0.039	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/16x2_1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/16x2_1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	5/16	0.313	2_1/2	2.5	0.313	0.314	0.302	0.104	0.039	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/8x1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/8x1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	3/8	0.375	1/2	0.5	0.375	0.376	0.365	0.125	0.047	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/8x5/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/8x5/8_STEEL_GROUND_MACHINE_DOWEL_PIN	3/8	0.375	5/8	0.625	0.375	0.376	0.365	0.125	0.047	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/8x3/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/8x3/4_STEEL_GROUND_MACHINE_DOWEL_PIN	3/8	0.375	3/4	0.75	0.375	0.376	0.365	0.125	0.047	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/8x7/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/8x7/8_STEEL_GROUND_MACHINE_DOWEL_PIN	3/8	0.375	7/8	0.875	0.375	0.376	0.365	0.125	0.047	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/8x1 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/8x1_STEEL_GROUND_MACHINE_DOWEL_PIN	3/8	0.375	1.0	1.0	0.375	0.376	0.365	0.125	0.047	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/8x1_1/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/8x1_1/4_STEEL_GROUND_MACHINE_DOWEL_PIN	3/8	0.375	1_1/4	1.25	0.375	0.376	0.365	0.125	0.047	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/8x1_1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/8x1_1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	3/8	0.375	1_1/2	1.5	0.375	0.376	0.365	0.125	0.047	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/8x1_3/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/8x1_3/4_STEEL_GROUND_MACHINE_DOWEL_PIN	3/8	0.375	1_3/4	1.75	0.375	0.376	0.365	0.125	0.047	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/8x2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/8x2_STEEL_GROUND_MACHINE_DOWEL_PIN	3/8	0.375	2.0	2.0	0.375	0.376	0.365	0.125	0.047	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/8x2_1/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/8x2_1/4_STEEL_GROUND_MACHINE_DOWEL_PIN	3/8	0.375	2_1/4	2.25	0.375	0.376	0.365	0.125	0.047	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/8x2_1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/8x2_1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	3/8	0.375	2_1/2	2.5	0.375	0.376	0.365	0.125	0.047	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/8x3 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/8x3_STEEL_GROUND_MACHINE_DOWEL_PIN	3/8	0.375	3	3.0	0.375	0.376	0.365	0.125	0.047	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 7/16x7/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_7/16x7/8_STEEL_GROUND_MACHINE_DOWEL_PIN	7/16	0.438	7/8	0.875	0.438	0.439	0.424	0.146	0.055	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 7/16x1 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_7/16x1_STEEL_GROUND_MACHINE_DOWEL_PIN	7/16	0.438	1.0	1.0	0.438	0.439	0.424	0.146	0.055	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 7/16x1_1/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_7/16x1_1/4_STEEL_GROUND_MACHINE_DOWEL_PIN	7/16	0.438	1_1/4	1.25	0.438	0.439	0.424	0.146	0.055	St	ASME B18.8.2	2000
