PartNumber	PartName	Pin_size(ref)	Basic_pin_dia(in)	A_pin_dia(in)	Length(ref)	L_length(in)	C_chamfer_length(in)	Material	Reference	Edition
ASME B18.8.2 5/32 x 9/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_9/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	9/16	0.563	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 5/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_5/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	5/8	0.625	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 11/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_11/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	11/16	0.688	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	3/4	0.75	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 13/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_13/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	13/16	0.813	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 7/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_7/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	7/8	0.875	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 15/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_15/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	15/16	0.938	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 1 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_1_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	1	1.0	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 1_1/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_1_1/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	1_1/8	1.125	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 1_1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_1_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	1_1/4	1.25	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 1_3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_1_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	1_3/8	1.375	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 1_1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_1_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	1_1/2	1.5	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 1_5/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_1_5/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	1_5/8	1.625	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 1_3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_1_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	1_3/4	1.75	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 1_7/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_1_7/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	1_7/8	1.875	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	2	2.0	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	1/4	0.25	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 5/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_5/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	5/16	0.313	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	3/8	0.375	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 7/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_7/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	7/16	0.438	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	1/2	0.5	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 9/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_9/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	9/16	0.563	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 5/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_5/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	5/8	0.625	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 11/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_11/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	11/16	0.688	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	3/4	0.75	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 13/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_13/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	13/16	0.813	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 7/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_7/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	7/8	0.875	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 15/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_15/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	15/16	0.938	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 1 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_1_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	1	1.0	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 1_1/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_1_1/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	1_1/8	1.125	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 1_1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_1_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	1_1/4	1.25	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 1_3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_1_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	1_3/8	1.375	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 1_1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_1_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	1_1/2	1.5	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 1_5/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_1_5/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	1_5/8	1.625	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 1_3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_1_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	1_3/4	1.75	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 1_7/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_1_7/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	1_7/8	1.875	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 3/16 x 2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/16_x_2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/16	0.188	0.185	2	2.0	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	1/4	0.25	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 5/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_5/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	5/16	0.313	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	3/8	0.375	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 7/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_7/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	7/16	0.438	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	1/2	0.5	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 9/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_9/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	9/16	0.563	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 5/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_5/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	5/8	0.625	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 11/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_11/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	11/16	0.688	0.025	St	ASME B18.8.2	2000
