PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	L_length(ref)	Length(in)	E_body_diamax(in)	E_body_diamin(in)	A_head_dia_max(in)	A_head_dia_min(in)	H_head_height_max(in)	H_head_height_min(in)	R_fillet_radius_max(in)	Material	Reference	Edition
ASME B18.5 BOLT 3/4 x 1.75 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_1.75_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	1.5	1.75	0.25	1  3/4 	1.75	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 2 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_2_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.25	2      	2.0	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 2.25 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_2.25_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.25	2  1/4 	2.25	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 2.75 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_2.75_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.25	2  3/4 	2.75	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 3 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_3_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.25	3      	3.0	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 3.25 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_3.25_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.25	3  1/4 	3.25	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 3.5 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_3.5_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.25	3  1/2 	3.5	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 3.75 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_3.75_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.25	3  3/4 	3.75	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 4 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_4_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.25	4      	4.0	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 4.25 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_4.25_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.25	4  1/4 	4.25	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
