PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	l_length(mm)	a_max(mm)	p_pitch(mm)	threading(mm)	dk_head_dia_max(mm)	k_head_depth_max(mm)	m_width(mm)	q_recess_depth_max(mm)	r_max(mm)	y_taper(mm)	slot_width(mm)	cross_recess_no	Type	Material	Reference	Edition																				
JIS B 1122 SCREW ST8x22 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST8x22_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.0	22.0	2.1	2.1	12.4	15.8	4.65	8.9	4.6	3.2	7.5	1.27	4.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST8x25 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST8x25_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.0	25.0	2.1	2.1	15.4	15.8	4.65	8.9	4.6	3.2	7.5	1.27	4.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST8x32 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST8x32_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.0	32.0	2.1	2.1	22.4	15.8	4.65	8.9	4.6	3.2	7.5	1.27	4.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST8x38 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST8x38_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.0	38.0	2.1	2.1	28.4	15.8	4.65	8.9	4.6	3.2	7.5	1.27	4.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST8x45 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST8x45_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.0	45.0	2.1	2.1	35.4	15.8	4.65	8.9	4.6	3.2	7.5	1.27	4.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST8x50 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST8x50_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.0	50.0	2.1	2.1	40.4	15.8	4.65	8.9	4.6	3.2	7.5	1.27	4.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST9.5x16 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST9.5x16_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.0	16.0	2.1	2.1	5.9	18.3	5.25	10.0	5.7	4.0	8.0	1.27	4.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST9.5x19 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST9.5x19_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.0	19.0	2.1	2.1	8.9	18.3	5.25	10.0	5.7	4.0	8.0	1.27	4.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST9.5x22 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST9.5x22_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.0	22.0	2.1	2.1	11.9	18.3	5.25	10.0	5.7	4.0	8.0	1.27	4.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST9.5x25 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST9.5x25_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.0	25.0	2.1	2.1	14.9	18.3	5.25	10.0	5.7	4.0	8.0	1.27	4.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST9.5x32 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST9.5x32_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.0	32.0	2.1	2.1	21.9	18.3	5.25	10.0	5.7	4.0	8.0	1.27	4.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST9.5x38 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST9.5x38_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.0	38.0	2.1	2.1	27.9	18.3	5.25	10.0	5.7	4.0	8.0	1.27	4.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST9.5x45 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST9.5x45_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.0	45.0	2.1	2.1	34.9	18.3	5.25	10.0	5.7	4.0	8.0	1.27	4.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST9.5x50 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST9.5x50_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.0	50.0	2.1	2.1	39.9	18.3	5.25	10.0	5.7	4.0	8.0	1.27	4.0	HC	St	JIS B 1122	1996																				
