PartNumber	PartName	d_dia(mm)	a_approx(mm)	r1(mm)	l_nom_Length(mm)	l_min(mm)	l_max(mm)	Material	Reference	Edition
JIS B 1352 PIN 8x85 STEEL TAPER	JIS_B_1352_8x85_STEEL_TAPER_PIN	8.0	1.0	8.0	85.0	84.25	85.75	St	JIS B 1352	1988
JIS B 1352 PIN 8x90 STEEL TAPER	JIS_B_1352_8x90_STEEL_TAPER_PIN	8.0	1.0	8.0	90.0	89.25	90.75	St	JIS B 1352	1988
JIS B 1352 PIN 8x95 STEEL TAPER	JIS_B_1352_8x95_STEEL_TAPER_PIN	8.0	1.0	8.0	95.0	94.25	95.75	St	JIS B 1352	1988
JIS B 1352 PIN 8x100 STEEL TAPER	JIS_B_1352_8x100_STEEL_TAPER_PIN	8.0	1.0	8.0	100.0	99.25	100.75	St	JIS B 1352	1988
JIS B 1352 PIN 8x120 STEEL TAPER	JIS_B_1352_8x120_STEEL_TAPER_PIN	8.0	1.0	8.0	120.0	119.25	120.75	St	JIS B 1352	1988
JIS B 1352 PIN 10x26 STEEL TAPER	JIS_B_1352_10x26_STEEL_TAPER_PIN	10.0	1.2	10.0	26.0	25.5	26.5	St	JIS B 1352	1988
JIS B 1352 PIN 10x28 STEEL TAPER	JIS_B_1352_10x28_STEEL_TAPER_PIN	10.0	1.2	10.0	28.0	27.5	28.5	St	JIS B 1352	1988
JIS B 1352 PIN 10x30 STEEL TAPER	JIS_B_1352_10x30_STEEL_TAPER_PIN	10.0	1.2	10.0	30.0	29.5	30.5	St	JIS B 1352	1988
JIS B 1352 PIN 10x32 STEEL TAPER	JIS_B_1352_10x32_STEEL_TAPER_PIN	10.0	1.2	10.0	32.0	31.5	32.5	St	JIS B 1352	1988
JIS B 1352 PIN 10x35 STEEL TAPER	JIS_B_1352_10x35_STEEL_TAPER_PIN	10.0	1.2	10.0	35.0	34.5	35.5	St	JIS B 1352	1988
JIS B 1352 PIN 10x40 STEEL TAPER	JIS_B_1352_10x40_STEEL_TAPER_PIN	10.0	1.2	10.0	40.0	39.5	40.5	St	JIS B 1352	1988
JIS B 1352 PIN 10x45 STEEL TAPER	JIS_B_1352_10x45_STEEL_TAPER_PIN	10.0	1.2	10.0	45.0	44.5	45.5	St	JIS B 1352	1988
JIS B 1352 PIN 10x50 STEEL TAPER	JIS_B_1352_10x50_STEEL_TAPER_PIN	10.0	1.2	10.0	50.0	49.5	50.5	St	JIS B 1352	1988
JIS B 1352 PIN 10x55 STEEL TAPER	JIS_B_1352_10x55_STEEL_TAPER_PIN	10.0	1.2	10.0	55.0	54.25	55.75	St	JIS B 1352	1988
JIS B 1352 PIN 10x60 STEEL TAPER	JIS_B_1352_10x60_STEEL_TAPER_PIN	10.0	1.2	10.0	60.0	59.25	60.75	St	JIS B 1352	1988
JIS B 1352 PIN 10x65 STEEL TAPER	JIS_B_1352_10x65_STEEL_TAPER_PIN	10.0	1.2	10.0	65.0	64.25	65.75	St	JIS B 1352	1988
JIS B 1352 PIN 10x70 STEEL TAPER	JIS_B_1352_10x70_STEEL_TAPER_PIN	10.0	1.2	10.0	70.0	69.25	70.75	St	JIS B 1352	1988
