PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	l_length(mm)	a_max(mm)	p_pitch(mm)	threading(mm)	e_across_corners(mm)	s_across_flats_max(mm)	k_head_depth_max(mm)	r_max(mm)	y_taper(mm)	Type	Material	Reference	Edition
JIS B 1123 SCREW ST9.5x25 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST9.5x25_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.02	25.0	2.1	2.1	14.9	17.62	16.0	7.5	0.4	8.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST9.5x32 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST9.5x32_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.02	32.0	2.1	2.1	21.9	17.62	16.0	7.5	0.4	8.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST9.5x38 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST9.5x38_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.02	38.0	2.1	2.1	27.9	17.62	16.0	7.5	0.4	8.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST9.5x45 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST9.5x45_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.02	45.0	2.1	2.1	34.9	17.62	16.0	7.5	0.4	8.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST9.5x50 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST9.5x50_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.02	50.0	2.1	2.1	39.9	17.62	16.0	7.5	0.4	8.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.2x4.5 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST2.2x4.5_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	1.37	4.5	0.8	0.8	2.1	3.38	3.2	1.6	0.1	1.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.2x6.5 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST2.2x6.5_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	1.37	6.5	0.8	0.8	4.1	3.38	3.2	1.6	0.1	1.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.2x9.5 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST2.2x9.5_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	1.37	9.5	0.8	0.8	7.1	3.38	3.2	1.6	0.1	1.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.2x13 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST2.2x13_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	1.37	13.0	0.8	0.8	10.6	3.38	3.2	1.6	0.1	1.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.2x16 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST2.2x16_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	1.37	16.0	0.8	0.8	13.6	3.38	3.2	1.6	0.1	1.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.9x6.5 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST2.9x6.5_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	1.88	6.5	1.1	1.1	3.3	5.4	5.0	2.3	0.1	2.1	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.9x9.5 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST2.9x9.5_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	1.88	9.5	1.1	1.1	6.3	5.4	5.0	2.3	0.1	2.1	F	St	JIS B 1123	1996
