PartNumber	PartName	designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_length(mm)	angle(deg)	re_radius(mm)	n_nom_slot_width(mm)	t_max_slot_depth(mm)	Grade	Material	Reference	Edition
JIS B 1117 SCREW M4x12 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M4x12_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M4	4.0	0.7	11.6906	12.0	90.0	5.6	0.6	1.42	A	St	JIS B 1117	1995
JIS B 1117 SCREW M4x14 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M4x14_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M4	4.0	0.7	13.6906	14.0	90.0	5.6	0.6	1.42	A	St	JIS B 1117	1995
JIS B 1117 SCREW M4x16 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M4x16_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M4	4.0	0.7	15.6906	16.0	90.0	5.6	0.6	1.42	A	St	JIS B 1117	1995
JIS B 1117 SCREW M4x20 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M4x20_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M4	4.0	0.7	19.6906	20.0	90.0	5.6	0.6	1.42	A	St	JIS B 1117	1995
JIS B 1117 SCREW M5x5 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M5x5_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M5	5.0	0.8	4.7500	5.0	120.0	7.0	0.8	1.63	A	St	JIS B 1117	1995
JIS B 1117 SCREW M5x6 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M5x6_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M5	5.0	0.8	5.6464	6.0	90.0	7.0	0.8	1.63	A	St	JIS B 1117	1995
JIS B 1117 SCREW M5x8 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M5x8_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M5	5.0	0.8	7.6464	8.0	90.0	7.0	0.8	1.63	A	St	JIS B 1117	1995
JIS B 1117 SCREW M5x10 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M5x10_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M5	5.0	0.8	9.6464	10.0	90.0	7.0	0.8	1.63	A	St	JIS B 1117	1995
JIS B 1117 SCREW M5x12 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M5x12_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M5	5.0	0.8	11.6464	12.0	90.0	7.0	0.8	1.63	A	St	JIS B 1117	1995
JIS B 1117 SCREW M5x14 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M5x14_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M5	5.0	0.8	13.6464	14.0	90.0	7.0	0.8	1.63	A	St	JIS B 1117	1995
JIS B 1117 SCREW M5x16 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M5x16_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M5	5.0	0.8	15.6464	16.0	90.0	7.0	0.8	1.63	A	St	JIS B 1117	1995
JIS B 1117 SCREW M5x20 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M5x20_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M5	5.0	0.8	19.6464	20.0	90.0	7.0	0.8	1.63	A	St	JIS B 1117	1995
JIS B 1117 SCREW M5x25 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M5x25_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M5	5.0	0.8	24.6464	25.0	90.0	7.0	0.8	1.63	A	St	JIS B 1117	1995
