PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	angle(deg)	ds_dia_point(mm)	dz_min(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Grade	Material	Reference	Edition
JIS B 1177 SCREW M6X25 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M6X25_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M6	6.0	1.0	24.5581	25.0	90.0	3.0	2.75	3.44	3.0	3.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M6X30 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M6X30_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M6	6.0	1.0	29.5581	30.0	90.0	3.0	2.75	3.44	3.0	3.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M8X6 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M8X6_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M8	8.0	1.25	5.6094	6.0	120.0	5.0	4.7	4.58	4.0	3.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M8X8 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M8X8_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M8	8.0	1.25	7.6094	8.0	120.0	5.0	4.7	4.58	4.0	3.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M8X10 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M8X10_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M8	8.0	1.25	9.4476	10.0	90.0	5.0	4.7	4.58	4.0	5.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M8X12 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M8X12_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M8	8.0	1.25	11.4476	12.0	90.0	5.0	4.7	4.58	4.0	5.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M8X16 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M8X16_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M8	8.0	1.25	15.4476	16.0	90.0	5.0	4.7	4.58	4.0	5.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M8X20 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M8X20_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M8	8.0	1.25	19.4476	20.0	90.0	5.0	4.7	4.58	4.0	5.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M8X25 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M8X25_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M8	8.0	1.25	24.4476	25.0	90.0	5.0	4.7	4.58	4.0	5.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M8X30 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M8X30_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M8	8.0	1.25	29.4476	30.0	90.0	5.0	4.7	4.58	4.0	5.0	A	St	JIS B 1177 	1997
