PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	ds_max_bolt_dia(mm)	ds_min_bolt_dia(mm)	l_bolt_length(mm)	s_max_across_flats(mm)	ls_shoulder_length(mm)	lg_shoulder_length(mm)	k_max_head_depth(mm)	k_head_edge_length(mm)	dw(mm)	r_min(mm)	c_max(mm)	da_max(mm)	ds_max_nom(mm)	e_acrosscorner_min(mm)	Grade	Material	Reference	Edition
JIS B 1180 BOLT M39x180 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x180_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	90.0	40.0	38.0	180.0	60.0	70.0	90.0	25.0	16.77	55.86	1.0	1.0	45.4	40.0	66.44	C	St	JIS B 1180	1994
JIS B 1180 BOLT M39x200 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x200_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	90.0	40.0	38.0	200.0	60.0	90.0	110.0	25.0	16.77	55.86	1.0	1.0	45.4	40.0	66.44	C	St	JIS B 1180	1994
JIS B 1180 BOLT M39x220 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x220_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	40.0	38.0	220.0	60.0	97.0	117.0	25.0	16.77	55.86	1.0	1.0	45.4	40.0	66.44	C	St	JIS B 1180	1994
JIS B 1180 BOLT M39x240 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x240_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	40.0	38.0	240.0	60.0	117.0	137.0	25.0	16.77	55.86	1.0	1.0	45.4	40.0	66.44	C	St	JIS B 1180	1994
JIS B 1180 BOLT M39x260 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x260_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	40.0	38.0	260.0	60.0	137.0	157.0	25.0	16.77	55.86	1.0	1.0	45.4	40.0	66.44	C	St	JIS B 1180	1994
JIS B 1180 BOLT M39x280 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x280_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	40.0	38.0	280.0	60.0	157.0	177.0	25.0	16.77	55.86	1.0	1.0	45.4	40.0	66.44	C	St	JIS B 1180	1994
JIS B 1180 BOLT M39x300 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x300_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	40.0	38.0	300.0	60.0	177.0	197.0	25.0	16.77	55.86	1.0	1.0	45.4	40.0	66.44	C	St	JIS B 1180	1994
JIS B 1180 BOLT M39x320 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x320_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	40.0	38.0	320.0	60.0	197.0	217.0	25.0	16.77	55.86	1.0	1.0	45.4	40.0	66.44	C	St	JIS B 1180	1994
JIS B 1180 BOLT M39x340 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x340_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	40.0	38.0	340.0	60.0	217.0	237.0	25.0	16.77	55.86	1.0	1.0	45.4	40.0	66.44	C	St	JIS B 1180	1994
JIS B 1180 BOLT M39x360 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x360_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	40.0	38.0	360.0	60.0	237.0	257.0	25.0	16.77	55.86	1.0	1.0	45.4	40.0	66.44	C	St	JIS B 1180	1994
JIS B 1180 BOLT M39x380 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x380_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	40.0	38.0	380.0	60.0	257.0	277.0	25.0	16.77	55.86	1.0	1.0	45.4	40.0	66.44	C	St	JIS B 1180	1994
JIS B 1180 BOLT M45x180 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x180_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	102.0	46.0	44.0	180.0	70.0	55.5	78.0	28.0	18.87	64.7	1.2	1.0	52.6	46.0	76.95	C	St	JIS B 1180	1994
JIS B 1180 BOLT M45x200 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x200_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	102.0	46.0	44.0	200.0	70.0	75.5	98.0	28.0	18.87	64.7	1.2	1.0	52.6	46.0	76.95	C	St	JIS B 1180	1994
