PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	angle(deg)	dp_dia_point(mm)	dp_min(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	z_dog_point_max(mm)	dog_point	Grade	Material	Reference	Edition
JIS B 1177 SCREW M10x25 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M10x25_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	24.3371	25.0	90	7.0	6.64	5.72	5.0	6.0	5.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M10x30 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M10x30_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	29.3371	30.0	90	7.0	6.64	5.72	5.0	6.0	5.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M10x35 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M10x35_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	34.3371	35.0	90	7.0	6.64	5.72	5.0	6.0	5.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M10x40 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M10x40_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	39.3371	40.0	90	7.0	6.64	5.72	5.0	6.0	5.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M10x45 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M10x45_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	44.3371	45.0	90	7.0	6.64	5.72	5.0	6.0	5.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M10x50 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M10x50_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	49.3371	50.0	90	7.0	6.64	5.72	5.0	6.0	5.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M12x12 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M12x12_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M12	12.0	1.75	11.4531	12.0	120	8.5	8.14	6.86	6.0	4.8	3.25	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M12x16 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M12x16_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M12	12.0	1.75	15.4531	16.0	120	8.5	8.14	6.86	6.0	4.8	3.25	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M12x20 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M12x20_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	19.2266	20.0	90	8.5	8.14	6.86	6.0	8.0	6.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M12x25 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M12x25_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	24.2266	25.0	90	8.5	8.14	6.86	6.0	8.0	6.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M12x30 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M12x30_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	29.2266	30.0	90	8.5	8.14	6.86	6.0	8.0	6.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M12x35 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M12x35_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	34.2266	35.0	90	8.5	8.14	6.86	6.0	8.0	6.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M12x40 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M12x40_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	39.2266	40.0	90	8.5	8.14	6.86	6.0	8.0	6.3	LONG	A	St	JIS B 1177	1997
