PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_bolt_length(mm)	s_nom_across_flats(mm)	ls_shoulder_length(mm)	lg_shoulder_length(mm)	k_max_head_depth(mm)	k_head_edge_length(mm)	dw(mm)	r_min(mm)	c_min(mm)	c__max(mm)	da_max(mm)	ds_max_nom(mm)	e_acrosscorner_min(mm)	lf_max(mm)	Grade	Material	Reference	Edition
JIS B 1180 BOLT M33x260 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x260_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	91.0	260.0	50.0	151.5	169.0	21.42	14.41	46.55	1.0	0.2	0.8	36.4	33.0	55.37	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M33x280 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x280_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	91.0	280.0	50.0	171.5	189.0	21.42	14.41	46.55	1.0	0.2	0.8	36.4	33.0	55.37	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M33x300 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x300_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	91.0	300.0	50.0	191.5	209.0	21.42	14.41	46.55	1.0	0.2	0.8	36.4	33.0	55.37	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M33x320 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x320_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	91.0	320.0	50.0	211.5	229.0	21.42	14.41	46.55	1.0	0.2	0.8	36.4	33.0	55.37	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M39x150 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x150_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	90.0	150.0	60.0	40.0	60.0	25.42	17.21	55.86	1.0	0.3	1.0	42.4	39.0	66.44	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M39x160 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x160_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	90.0	160.0	60.0	50.0	70.0	25.42	17.21	55.86	1.0	0.3	1.0	42.4	39.0	66.44	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M39x180 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x180_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	90.0	180.0	60.0	70.0	90.0	25.42	17.21	55.86	1.0	0.3	1.0	42.4	39.0	66.44	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M39x200 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x200_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	90.0	200.0	60.0	90.0	110.0	25.42	17.21	55.86	1.0	0.3	1.0	42.4	39.0	66.44	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M39x220 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x220_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	220.0	60.0	97.0	117.0	25.42	17.21	55.86	1.0	0.3	1.0	42.4	39.0	66.44	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M39x240 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x240_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	240.0	60.0	117.0	137.0	25.42	17.21	55.86	1.0	0.3	1.0	42.4	39.0	66.44	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M39x260 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x260_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	260.0	60.0	137.0	157.0	25.42	17.21	55.86	1.0	0.3	1.0	42.4	39.0	66.44	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M39x280 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x280_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	280.0	60.0	157.0	177.0	25.42	17.21	55.86	1.0	0.3	1.0	42.4	39.0	66.44	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M39x300 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x300_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	300.0	60.0	177.0	197.0	25.42	17.21	55.86	1.0	0.3	1.0	42.4	39.0	66.44	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M39x320 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x320_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	320.0	60.0	197.0	217.0	25.42	17.21	55.86	1.0	0.3	1.0	42.4	39.0	66.44	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M39x340 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x340_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	340.0	60.0	217.0	237.0	25.42	17.21	55.86	1.0	0.3	1.0	42.4	39.0	66.44	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M39x360 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x360_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	360.0	60.0	237.0	257.0	25.42	17.21	55.86	1.0	0.3	1.0	42.4	39.0	66.44	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M39x380 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x380_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	103.0	380.0	60.0	257.0	277.0	25.42	17.21	55.86	1.0	0.3	1.0	42.4	39.0	66.44	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M45x180 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x180_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	102.0	180.0	70.0	55.5	78.0	28.42	19.31	64.7	1.2	0.3	1.0	48.6	45.0	76.95	8.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M45x200 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x200_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	102.0	200.0	70.0	75.5	98.0	28.42	19.31	64.7	1.2	0.3	1.0	48.6	45.0	76.95	8.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M45x220 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x220_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	220.0	70.0	82.5	105.0	28.42	19.31	64.7	1.2	0.3	1.0	48.6	45.0	76.95	8.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M45x240 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x240_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	240.0	70.0	102.5	125.0	28.42	19.31	64.7	1.2	0.3	1.0	48.6	45.0	76.95	8.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M45x260 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x260_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	260.0	70.0	122.5	145.0	28.42	19.31	64.7	1.2	0.3	1.0	48.6	45.0	76.95	8.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M45x280 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x280_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	280.0	70.0	142.5	165.0	28.42	19.31	64.7	1.2	0.3	1.0	48.6	45.0	76.95	8.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M45x300 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x300_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	300.0	70.0	162.5	185.0	28.42	19.31	64.7	1.2	0.3	1.0	48.6	45.0	76.95	8.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M45x320 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x320_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	320.0	70.0	182.5	205.0	28.42	19.31	64.7	1.2	0.3	1.0	48.6	45.0	76.95	8.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M45x340 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x340_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	340.0	70.0	202.5	225.0	28.42	19.31	64.7	1.2	0.3	1.0	48.6	45.0	76.95	8.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M45x360 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x360_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	360.0	70.0	222.5	245.0	28.42	19.31	64.7	1.2	0.3	1.0	48.6	45.0	76.95	8.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M45x380 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x380_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	380.0	70.0	242.5	265.0	28.42	19.31	64.7	1.2	0.3	1.0	48.6	45.0	76.95	8.0	B	St	JIS B 1180	1994
