PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_nom(mm)	b_min(mm)	dk_nom(mm)	k_max(mm)	rf_(mm)	r_max(mm)	x_max(mm)	m_ref(mm)	m_penetration_max(mm)	Slot_width(mm)	f_(mm)	a_max(mm)	Type	Grade	Material	Reference	Edition
EN ISO 7047 SCREW M3.5x40-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x40-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	36.45	40.0	38.0	7.3	2.35	8.5	0.9	1.5	4.8	2.75	0.7	0.8	1.2	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x45-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x45-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	41.45	45.0	38.0	7.3	2.35	8.5	0.9	1.5	4.8	2.75	0.7	0.8	1.2	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x5-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x5-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	0.9	5.0	38.0	8.4	2.7	9.5	1.0	1.75	5.2	3.2	0.7	1.0	1.4	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x6-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x6-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	1.9	6.0	38.0	8.4	2.7	9.5	1.0	1.75	5.2	3.2	0.7	1.0	1.4	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x8-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x8-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	3.9	8.0	38.0	8.4	2.7	9.5	1.0	1.75	5.2	3.2	0.7	1.0	1.4	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x10-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x10-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	5.9	10.0	38.0	8.4	2.7	9.5	1.0	1.75	5.2	3.2	0.7	1.0	1.4	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x12-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x12-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	7.9	12.0	38.0	8.4	2.7	9.5	1.0	1.75	5.2	3.2	0.7	1.0	1.4	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x14-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x14-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	9.9	14.0	38.0	8.4	2.7	9.5	1.0	1.75	5.2	3.2	0.7	1.0	1.4	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x16-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x16-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	11.9	16.0	38.0	8.4	2.7	9.5	1.0	1.75	5.2	3.2	0.7	1.0	1.4	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x20-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x20-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	15.9	20.0	38.0	8.4	2.7	9.5	1.0	1.75	5.2	3.2	0.7	1.0	1.4	H	A	St	EN ISO 7047	1994
