PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	l_length_max(mm)	a_max(mm)	a_min(mm)	c_max(mm)	da_max(mm)	dw_min(mm)	e_min(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
EN ISO 4018 SCREW M27x150 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x150_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	141.0	150.0	152.0	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x160 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x160_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	151.0	160.0	164.0	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x180 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x180_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	171.0	180.0	184.0	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x200 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x200_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	191.0	200.0	204.6	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x220 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x220_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	211.0	220.0	224.6	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x240 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x240_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	231.0	240.0	244.6	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x260 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x260_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	251.0	260.0	265.2	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x280 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x280_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	271.0	280.0	285.2	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M33x65 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M33x65_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M33	33.0	3.5	54.5	65.0	66.5	10.5	3.5	0.8	38.4	46.55	55.37	22.05	13.97	1.0	50.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M33x70 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M33x70_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M33	33.0	3.5	59.5	70.0	71.5	10.5	3.5	0.8	38.4	46.55	55.37	22.05	13.97	1.0	50.0	C	St	EN ISO 4018	2000
