PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	ds_dia_point(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Material	Reference	Edition
EN ISO 4029 SCREW M12&12 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M12&12_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M12	12.0	1.75	11.453	12.0	8.0	6.863	6.0	4.8	St	EN IS0 4029	2003
EN ISO 4029 SCREW M12&16 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M12&16_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M12	12.0	1.75	15.453	16.0	8.0	6.863	6.0	8.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M12&20 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M12&20_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M12	12.0	1.75	19.453	20.0	8.0	6.863	6.0	8.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M12&25 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M12&25_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M12	12.0	1.75	24.453	25.0	8.0	6.863	6.0	8.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M12&30 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M12&30_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M12	12.0	1.75	29.453	30.0	8.0	6.863	6.0	8.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M12&35 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M12&35_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M12	12.0	1.75	34.453	35.0	8.0	6.863	6.0	8.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M12&40 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M12&40_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M12	12.0	1.75	39.453	40.0	8.0	6.863	6.0	8.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M12&45 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M12&45_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M12	12.0	1.75	44.453	45.0	8.0	6.863	6.0	8.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M12&50 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M12&50_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M12	12.0	1.75	49.453	50.0	8.0	6.863	6.0	8.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M12&55 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M12&55_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M12	12.0	1.75	54.453	55.0	8.0	6.863	6.0	8.0	St	EN IS0 4029	2003
