PartNumber	PartName	d_dia(mm)	a(mm)	l_length_nom(mm)	l_max(mm)	l_min(mm)	r1(mm)	r2(mm)	Material	Reference	Edition
ISO 2339 PIN 4x50 STEEL TAPER UNHARDENED	ISO_2339_4x50_STEEL_UNHARDENED_TAPER_PIN	4.0	0.5	50.0	50.5	49.5	4.0	4.5	St	ISO 2339	1986
ISO 2339 PIN 4x55 STEEL TAPER UNHARDENED	ISO_2339_4x55_STEEL_UNHARDENED_TAPER_PIN	4.0	0.5	55.0	55.75	54.25	4.0	4.553	St	ISO 2339	1986
ISO 2339 PIN 5x18 STEEL TAPER UNHARDENED	ISO_2339_5x18_STEEL_UNHARDENED_TAPER_PIN	5.0	0.63	18.0	18.5	17.5	5.0	5.341	St	ISO 2339	1986
ISO 2339 PIN 5x20 STEEL TAPER UNHARDENED	ISO_2339_5x20_STEEL_UNHARDENED_TAPER_PIN	5.0	0.63	20.0	20.5	19.5	5.0	5.347	St	ISO 2339	1986
ISO 2339 PIN 5x22 STEEL TAPER UNHARDENED	ISO_2339_5x22_STEEL_UNHARDENED_TAPER_PIN	5.0	0.63	22.0	22.5	21.5	5.0	5.353	St	ISO 2339	1986
ISO 2339 PIN 5x24 STEEL TAPER UNHARDENED	ISO_2339_5x24_STEEL_UNHARDENED_TAPER_PIN	5.0	0.63	24.0	24.5	23.5	5.0	5.361	St	ISO 2339	1986
ISO 2339 PIN 5x26 STEEL TAPER UNHARDENED	ISO_2339_5x26_STEEL_UNHARDENED_TAPER_PIN	5.0	0.63	26.0	26.5	25.5	5.0	5.369	St	ISO 2339	1986
ISO 2339 PIN 5x28 STEEL TAPER UNHARDENED	ISO_2339_5x28_STEEL_UNHARDENED_TAPER_PIN	5.0	0.63	28.0	28.5	27.5	5.0	5.377	St	ISO 2339	1986
ISO 2339 PIN 5x30 STEEL TAPER UNHARDENED	ISO_2339_5x30_STEEL_UNHARDENED_TAPER_PIN	5.0	0.63	30.0	30.5	29.5	5.0	5.386	St	ISO 2339	1986
ISO 2339 PIN 5x32 STEEL TAPER UNHARDENED	ISO_2339_5x32_STEEL_UNHARDENED_TAPER_PIN	5.0	0.63	32.0	32.5	31.5	5.0	5.396	St	ISO 2339	1986
ISO 2339 PIN 5x35 STEEL TAPER UNHARDENED	ISO_2339_5x35_STEEL_UNHARDENED_TAPER_PIN	5.0	0.63	35.0	35.5	34.5	5.0	5.412	St	ISO 2339	1986
ISO 2339 PIN 5x40 STEEL TAPER UNHARDENED	ISO_2339_5x40_STEEL_UNHARDENED_TAPER_PIN	5.0	0.63	40.0	40.5	39.5	5.0	5.442	St	ISO 2339	1986
ISO 2339 PIN 5x45 STEEL TAPER UNHARDENED	ISO_2339_5x45_STEEL_UNHARDENED_TAPER_PIN	5.0	0.63	45.0	45.5	44.5	5.0	5.476	St	ISO 2339	1986
ISO 2339 PIN 5x50 STEEL TAPER UNHARDENED	ISO_2339_5x50_STEEL_UNHARDENED_TAPER_PIN	5.0	0.63	50.0	50.5	49.5	5.0	5.513	St	ISO 2339	1986
ISO 2339 PIN 5x55 STEEL TAPER UNHARDENED	ISO_2339_5x55_STEEL_UNHARDENED_TAPER_PIN	5.0	0.63	55.0	55.75	54.25	5.0	5.555	St	ISO 2339	1986
ISO 2339 PIN 5x60 STEEL TAPER UNHARDENED	ISO_2339_5x60_STEEL_UNHARDENED_TAPER_PIN	5.0	0.63	60.0	60.75	59.25	5.0	5.601	St	ISO 2339	1986
ISO 2339 PIN 6x22 STEEL TAPER UNHARDENED	ISO_2339_6x22_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	22.0	22.5	21.5	6.0	6.43	St	ISO 2339	1986
ISO 2339 PIN 6x24 STEEL TAPER UNHARDENED	ISO_2339_6x24_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	24.0	24.5	23.5	6.0	6.436	St	ISO 2339	1986
ISO 2339 PIN 6x26 STEEL TAPER UNHARDENED	ISO_2339_6x26_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	26.0	26.5	25.5	6.0	6.442	St	ISO 2339	1986
ISO 2339 PIN 6x28 STEEL TAPER UNHARDENED	ISO_2339_6x28_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	28.0	28.5	27.5	6.0	6.449	St	ISO 2339	1986
ISO 2339 PIN 6x30 STEEL TAPER UNHARDENED	ISO_2339_6x30_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	30.0	30.5	29.5	6.0	6.456	St	ISO 2339	1986
ISO 2339 PIN 6x32 STEEL TAPER UNHARDENED	ISO_2339_6x32_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	32.0	32.5	31.5	6.0	6.464	St	ISO 2339	1986
ISO 2339 PIN 6x35 STEEL TAPER UNHARDENED	ISO_2339_6x35_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	35.0	35.5	34.5	6.0	6.477	St	ISO 2339	1986
ISO 2339 PIN 6x40 STEEL TAPER UNHARDENED	ISO_2339_6x40_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	40.0	40.5	39.5	6.0	6.5	St	ISO 2339	1986
ISO 2339 PIN 6x45 STEEL TAPER UNHARDENED	ISO_2339_6x45_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	45.0	45.5	44.5	6.0	6.527	St	ISO 2339	1986
ISO 2339 PIN 6x50 STEEL TAPER UNHARDENED	ISO_2339_6x50_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	50.0	50.5	49.5	6.0	6.556	St	ISO 2339	1986
ISO 2339 PIN 6x55 STEEL TAPER UNHARDENED	ISO_2339_6x55_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	55.0	55.75	54.25	6.0	6.589	St	ISO 2339	1986
ISO 2339 PIN 6x60 STEEL TAPER UNHARDENED	ISO_2339_6x60_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	60.0	60.75	59.25	6.0	6.625	St	ISO 2339	1986
ISO 2339 PIN 6x65 STEEL TAPER UNHARDENED	ISO_2339_6x65_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	65.0	65.75	64.25	6.0	6.664	St	ISO 2339	1986
ISO 2339 PIN 6x70 STEEL TAPER UNHARDENED	ISO_2339_6x70_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	70.0	70.75	69.25	6.0	6.706	St	ISO 2339	1986
ISO 2339 PIN 6x75 STEEL TAPER UNHARDENED	ISO_2339_6x75_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	75.0	75.75	74.25	6.0	6.752	St	ISO 2339	1986
ISO 2339 PIN 6x80 STEEL TAPER UNHARDENED	ISO_2339_6x80_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	80.0	80.75	79.25	6.0	6.8	St	ISO 2339	1986
ISO 2339 PIN 6x85 STEEL TAPER UNHARDENED	ISO_2339_6x85_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	85.0	85.75	84.25	6.0	6.852	St	ISO 2339	1986
ISO 2339 PIN 6x90 STEEL TAPER UNHARDENED	ISO_2339_6x90_STEEL_UNHARDENED_TAPER_PIN	6.0	0.8	90.0	90.75	89.25	6.0	6.906	St	ISO 2339	1986
ISO 2339 PIN 8x22 STEEL TAPER UNHARDENED	ISO_2339_8x22_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	22.0	22.5	21.5	8.0	8.524	St	ISO 2339	1986
ISO 2339 PIN 8x24 STEEL TAPER UNHARDENED	ISO_2339_8x24_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	24.0	24.5	23.5	8.0	8.529	St	ISO 2339	1986
ISO 2339 PIN 8x26 STEEL TAPER UNHARDENED	ISO_2339_8x26_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	26.0	26.5	25.5	8.0	8.534	St	ISO 2339	1986
ISO 2339 PIN 8x28 STEEL TAPER UNHARDENED	ISO_2339_8x28_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	28.0	28.5	27.5	8.0	8.539	St	ISO 2339	1986
ISO 2339 PIN 8x30 STEEL TAPER UNHARDENED	ISO_2339_8x30_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	30.0	30.5	29.5	8.0	8.545	St	ISO 2339	1986
ISO 2339 PIN 8x32 STEEL TAPER UNHARDENED	ISO_2339_8x32_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	32.0	32.5	31.5	8.0	8.551	St	ISO 2339	1986
ISO 2339 PIN 8x35 STEEL TAPER UNHARDENED	ISO_2339_8x35_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	35.0	35.5	34.5	8.0	8.561	St	ISO 2339	1986
ISO 2339 PIN 8x40 STEEL TAPER UNHARDENED	ISO_2339_8x40_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	40.0	40.5	39.5	8.0	8.58	St	ISO 2339	1986
ISO 2339 PIN 8x45 STEEL TAPER UNHARDENED	ISO_2339_8x45_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	45.0	45.5	44.5	8.0	8.601	St	ISO 2339	1986
ISO 2339 PIN 8x50 STEEL TAPER UNHARDENED	ISO_2339_8x50_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	50.0	50.5	49.5	8.0	8.625	St	ISO 2339	1986
