PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	l_length_max(mm)	a_max(mm)	c_max(mm)	c_min(mm)	da_max(mm)	dw_min(mm)	e_min(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
ISO 4017 SCREW M27x55 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M27x55_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	46.0	55.0	56.5	9.0	0.8	0.2	30.4	38.0	45.2	17.35	11.66	1.0	41.0	B	St	ISO 4017	1999
ISO 4017 SCREW M27x60 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M27x60_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	51.0	60.0	61.5	9.0	0.8	0.2	30.4	38.0	45.2	17.35	11.66	1.0	41.0	B	St	ISO 4017	1999
ISO 4017 SCREW M27x65 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M27x65_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	56.0	65.0	66.5	9.0	0.8	0.2	30.4	38.0	45.2	17.35	11.66	1.0	41.0	B	St	ISO 4017	1999
ISO 4017 SCREW M27x70 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M27x70_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	61.0	70.0	71.5	9.0	0.8	0.2	30.4	38.0	45.2	17.35	11.66	1.0	41.0	B	St	ISO 4017	1999
ISO 4017 SCREW M27x80 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M27x80_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	71.0	80.0	81.5	9.0	0.8	0.2	30.4	38.0	45.2	17.35	11.66	1.0	41.0	B	St	ISO 4017	1999
ISO 4017 SCREW M27x90 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M27x90_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	81.0	90.0	91.75	9.0	0.8	0.2	30.4	38.0	45.2	17.35	11.66	1.0	41.0	B	St	ISO 4017	1999
ISO 4017 SCREW M27x100 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M27x100_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	91.0	100.0	101.75	9.0	0.8	0.2	30.4	38.0	45.2	17.35	11.66	1.0	41.0	B	St	ISO 4017	1999
ISO 4017 SCREW M27x110 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M27x110_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	101.0	110.0	111.75	9.0	0.8	0.2	30.4	38.0	45.2	17.35	11.66	1.0	41.0	B	St	ISO 4017	1999
ISO 4017 SCREW M27x120 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M27x120_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	111.0	120.0	121.75	9.0	0.8	0.2	30.4	38.0	45.2	17.35	11.66	1.0	41.0	B	St	ISO 4017	1999
ISO 4017 SCREW M27x130 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M27x130_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	121.0	130.0	132.0	9.0	0.8	0.2	30.4	38.0	45.2	17.35	11.66	1.0	41.0	B	St	ISO 4017	1999
