PartNumber	PartName	d_pin_dia(mm)	l_pin_len_nom(mm)	l_pin_len_min(mm)	l_pin_len_max(mm)	c(mm)	Material	Reference	Edition
ISO 8734 PARALLEL PIN 6x55 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_6x55_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	6.0	55.0	54.25	55.75	1.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 6x60 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_6x60_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	6.0	60.0	59.25	60.75	1.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x18 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x18_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	18.0	17.5	18.5	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x20 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x20_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	20.0	19.5	20.5	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x22 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x22_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	22.0	21.5	22.5	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x24 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x24_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	24.0	23.5	24.5	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x26 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x26_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	26.0	25.5	26.5	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x28 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x28_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	28.0	27.5	28.5	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x30 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x30_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	30.0	29.5	30.5	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x32 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x32_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	32.0	31.5	32.5	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x35 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x35_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	35.0	34.5	35.5	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x40 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x40_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	40.0	39.5	40.5	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x45 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x45_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	45.0	44.5	45.5	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x50 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x50_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	50.0	49.5	50.5	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x55 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x55_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	55.0	54.25	55.75	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x60 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x60_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	60.0	59.25	60.75	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x65 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x65_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	65.0	64.25	65.75	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x70 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x70_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	70.0	69.25	70.75	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x75 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x75_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	75.0	74.25	75.75	1.6	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 8x80 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_8x80_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	8.0	80.0	79.25	80.75	1.6	St	ISO 8734	1997
