PartNumber	PartName	d_pin_dia(mm)	l_pin_length(mm)	dk_head_dia(mm)	c_max(mm)	e(mm)	k_head_depth(mm)	le_min(mm)	r(mm)	dl_hole_dia(mm)	Material	Reference	Edition
ISO 2341 CLEVIS PIN 6x24 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x24_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	24.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x26 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x26_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	26.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x28 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x28_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	28.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x30 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x30_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	30.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x32 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x32_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	32.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x35 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x35_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	35.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x40 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x40_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	40.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x45 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x45_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	45.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x50 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x50_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	50.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x55 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x55_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	55.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x60 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x60_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	60.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 8x16 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_8x16_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	8.0	16.0	14.0	2.0	1.0	3.0	3.5	0.6	2.0	St	ISO 2341	1986
