PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	L_length_nom(mm)	J_hex_socket_nom(mm)	T_depth_min(mm)	A_point_dia_max(mm)	A_point_dia_min(mm)	Y_point angle(deg)	Material	Reference	Edition
ASME B18.3.6M SCREW M5x30 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M5x30_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M5	5.0	0.8	29.75	30.0	2.5	2.7	0.5	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M5x35 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M5x35_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M5	5.0	0.8	34.75	35.0	2.5	2.7	0.5	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M5x40 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M5x40_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M5	5.0	0.8	39.75	40.0	2.5	2.7	0.5	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M5x45 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M5x45_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M5	5.0	0.8	44.75	45.0	2.5	2.7	0.5	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M5x50 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M5x50_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M5	5.0	0.8	49.75	50.0	2.5	2.7	0.5	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M6x5 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M6x5_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M6	6.0	1.0	4.688	5.0	3.0	1.8	1.5	1.2	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M6x6 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M6x6_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M6	6.0	1.0	5.688	6.0	3.0	2.7	1.5	1.2	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M6x8 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M6x8_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M6	6.0	1.0	7.688	8.0	3.0	3.0	1.5	1.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M6x10 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M6x10_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M6	6.0	1.0	9.688	10.0	3.0	3.0	1.5	1.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M6x12 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M6x12_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M6	6.0	1.0	11.688	12.0	3.0	3.0	1.5	1.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M6x16 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M6x16_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M6	6.0	1.0	15.688	16.0	3.0	3.0	1.5	1.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M6x20 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M6x20_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M6	6.0	1.0	19.688	20.0	3.0	3.0	1.5	1.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M6x25 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M6x25_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M6	6.0	1.0	24.688	25.0	3.0	3.0	1.5	1.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M6x30 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M6x30_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M6	6.0	1.0	29.688	30.0	3.0	3.0	1.5	1.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M6x35 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M6x35_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M6	6.0	1.0	34.688	35.0	3.0	3.0	1.5	1.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M6x40 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M6x40_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M6	6.0	1.0	39.688	40.0	3.0	3.0	1.5	1.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M6x45 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M6x45_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M6	6.0	1.0	44.688	45.0	3.0	3.0	1.5	1.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M6x50 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M6x50_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M6	6.0	1.0	49.688	50.0	3.0	3.0	1.5	1.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M6x55 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M6x55_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M6	6.0	1.0	54.688	55.0	3.0	3.0	1.5	1.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M6x60 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M6x60_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M6	6.0	1.0	59.688	60.0	3.0	3.0	1.5	1.2	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x6 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x6_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	5.609	6.0	4.0	2.3	2.0	1.6	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x8 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x8_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	7.609	8.0	4.0	3.5	2.0	1.6	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x10 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x10_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	9.609	10.0	4.0	4.0	2.0	1.6	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x12 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x12_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	11.609	12.0	4.0	4.0	2.0	1.6	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x16 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x16_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	15.609	16.0	4.0	4.0	2.0	1.6	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M8x20 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M8x20_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M8	8.0	1.25	19.609	20.0	4.0	4.0	2.0	1.6	90	St	ASME B18.3.6M	1986
