PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	ds_screw_dia_max(mm)	ds_screw_dia_min(mm)	l_screw_len(mm)	b_ref(mm)	s_af_dis_max(mm)	s_af_dis_min(mm)	e_ac_dis_max(mm)	e_ac_dis_min(mm)	k_head_hgt_max(mm)	k_head_hgt_min(mm)	k1_wrench_hgt(mm)	r_u_head(mm)	d_sh_dia_max(mm)	d_sh_dia_min(mm)	d_body_dia_max(mm)	d_body_dia_min(mm)	l_sh_max(mm)	l_sh_min(mm)	Material	Reference	Edition
ANSI B18.2.3.5M BOLT M14x120 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M14x120_STEEL_HEX_SHOULDER_BOLT	M14	14.0	2.0	34.0	14.7	13.3	120.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	14.7	13.3	12.77	12.5	8.0	7.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x130 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M14x130_STEEL_HEX_SHOULDER_BOLT	M14	14.0	2.0	40.0	14.7	13.3	130.0	40.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	14.7	13.3	12.77	12.5	8.0	7.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x140 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M14x140_STEEL_HEX_SHOULDER_BOLT	M14	14.0	2.0	40.0	14.7	13.3	140.0	40.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	14.7	13.3	12.77	12.5	8.0	7.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x70 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M16x70_STEEL_HEX_SHOULDER_BOLT	M16	16.0	2.0	38.0	16.7	15.3	70.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	16.7	15.3	14.77	14.5	9.0	8.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x80 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M16x80_STEEL_HEX_SHOULDER_BOLT	M16	16.0	2.0	38.0	16.7	15.3	80.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	16.7	15.3	14.77	14.5	9.0	8.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x90 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M16x90_STEEL_HEX_SHOULDER_BOLT	M16	16.0	2.0	38.0	16.7	15.3	90.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	16.7	15.3	14.77	14.5	9.0	8.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x100 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M16x100_STEEL_HEX_SHOULDER_BOLT	M16	16.0	2.0	38.0	16.7	15.3	100.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	16.7	15.3	14.77	14.5	9.0	8.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x110 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M16x110_STEEL_HEX_SHOULDER_BOLT	M16	16.0	2.0	38.0	16.7	15.3	110.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	16.7	15.3	14.77	14.5	9.0	8.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x120 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M16x120_STEEL_HEX_SHOULDER_BOLT	M16	16.0	2.0	38.0	16.7	15.3	120.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	16.7	15.3	14.77	14.5	9.0	8.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x130 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M16x130_STEEL_HEX_SHOULDER_BOLT	M16	16.0	2.0	44.0	16.7	15.3	130.0	44.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	16.7	15.3	14.77	14.5	9.0	8.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x140 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M16x140_STEEL_HEX_SHOULDER_BOLT	M16	16.0	2.0	44.0	16.7	15.3	140.0	44.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	16.7	15.3	14.77	14.5	9.0	8.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x150 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M16x150_STEEL_HEX_SHOULDER_BOLT	M16	16.0	2.0	44.0	16.7	15.3	150.0	44.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	16.7	15.3	14.77	14.5	9.0	8.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x160 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M16x160_STEEL_HEX_SHOULDER_BOLT	M16	16.0	2.0	44.0	16.7	15.3	160.0	44.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	16.7	15.3	14.77	14.5	9.0	8.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x70 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M20x70_STEEL_HEX_SHOULDER_BOLT	M20	20.0	2.5	46.0	20.84	19.16	70.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	20.84	19.16	18.49	18.16	11.0	10.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x80 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M20x80_STEEL_HEX_SHOULDER_BOLT	M20	20.0	2.5	46.0	20.84	19.16	80.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	20.84	19.16	18.49	18.16	11.0	10.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M20x90 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M20x90_STEEL_HEX_SHOULDER_BOLT	M20	20.0	2.5	46.0	20.84	19.16	90.0	46.0	30.0	29.16	34.64	32.95	13.4	12.12	8.8	0.8	20.84	19.16	18.49	18.16	11.0	10.0	St	ANSI B18.2.3.5M	1979
